      5.75   -274.34662909   -274.17994504   -274.17917324   -274.17430395   -274.12565786     
      5.76   -274.34658073   -274.17992862   -274.17915830   -274.17432445   -274.12586609     
      5.77   -274.34653231   -274.17991064   -274.17914164   -274.17434266   -274.12606604     
      5.78   -274.34648390   -274.17989264   -274.17912514   -274.17436059   -274.12626234     
      5.79   -274.34643557   -274.17987463   -274.17910873   -274.17437827   -274.12645597     
      5.80   -274.34638733   -274.17985661   -274.17909235   -274.17439569   -274.12664699     
      5.81   -274.34633895   -274.17983753   -274.17907463   -274.17441167   -274.12682639     
      5.82   -274.34629091   -274.17981951   -274.17905850   -274.17442861   -274.12701201     
      5.83   -274.34624296   -274.17980153   -274.17904252   -274.17444534   -274.12719508     
      5.84   -274.34619519   -274.17978314   -274.17902642   -274.17446107   -274.12737748     
      5.85   -274.34614737   -274.17976532   -274.17901101   -274.17447736   -274.12755488     
      5.86   -274.34609974   -274.17974738   -274.17899535   -274.17449337   -274.12773043     
      5.87   -274.34605222   -274.17972944   -274.17897979   -274.17450914   -274.12790351     
      5.88   -274.34600480   -274.17971136   -274.17896399   -274.17452463   -274.12807415     
      5.89   -274.34595750   -274.17969364   -274.17894893   -274.17454003   -274.12824238     
      5.90   -274.34591031   -274.17967577   -274.17893371   -274.17455514   -274.12840822     
      5.91   -274.34586324   -274.17965792   -274.17891858   -274.17457002   -274.12857162     
      5.92   -274.34581629   -274.17964010   -274.17890355   -274.17458469   -274.12873266     
      5.93   -274.34576946   -274.17962230   -274.17888860   -274.17459913   -274.12889133     
      5.94   -274.34572279   -274.17960453   -274.17887374   -274.17461337   -274.12904814     
      5.95   -274.34567621   -274.17958678   -274.17885903   -274.17462739   -274.12920221     
      5.96   -274.34562975   -274.17956907   -274.17884442   -274.17464122   -274.12935403     
      5.97   -274.34558255   -274.17955025   -274.17882858   -274.17465284   -274.12949482     
      5.98   -274.34553634   -274.17953260   -274.17881417   -274.17466623   -274.12964192     
      5.99   -274.34549027   -274.17951498   -274.17879987   -274.17467943   -274.12978685     
      6.00   -274.34544432   -274.17949741   -274.17878568   -274.17469243   -274.12992960     
      6.01   -274.34539851   -274.17947987   -274.17877159   -274.17470522   -274.13007019     
      6.02   -274.34535284   -274.17946237   -274.17875761   -274.17471782   -274.13020863     
      6.03   -274.34530730   -274.17944492   -274.17874372   -274.17473024   -274.13034496     
      6.04   -274.34526190   -274.17942747   -274.17872988   -274.17474243   -274.13047912     
      6.05   -274.34521663   -274.17941009   -274.17871620   -274.17475444   -274.13061128     
      6.06   -274.34517151   -274.17939276   -274.17870262   -274.17476626   -274.13074137     
      6.07   -274.34512652   -274.17937547   -274.17868914   -274.17477789   -274.13086943     
      6.08   -274.34508168   -274.17935822   -274.17867576   -274.17478930   -274.13099548     
      6.09   -274.34503698   -274.17934103   -274.17866249   -274.17480056   -274.13111953     
      6.10   -274.34499242   -274.17932389   -274.17864931   -274.17481163   -274.13124162     
      6.11   -274.34494801   -274.17930679   -274.17863623   -274.17482252   -274.13136174     
      6.12   -274.34490375   -274.17928975   -274.17862325   -274.17483323   -274.13147993     
      6.13   -274.34485963   -274.17927276   -274.17861037   -274.17484376   -274.13159621     
      6.14   -274.34481565   -274.17925582   -274.17859759   -274.17485411   -274.13171059     
      6.15   -274.34477242   -274.17923916   -274.17858492   -274.17486532   -274.13181952     
      6.16   -274.34472809   -274.17922128   -274.17857181   -274.17487474   -274.13191421     
      6.17   -274.34468457   -274.17920452   -274.17855933   -274.17488456   -274.13202307     
      6.18   -274.34464125   -274.17918785   -274.17854680   -274.17489381   -274.13212983     
      6.19   -274.34459872   -274.17917201   -274.17853481   -274.17490403   -274.13226448     
